               E1 ,                E2
    16180.7127161 ,     1936.80781653
    8106.14123969 ,     5848.79951719
    4139.20600731 ,     1852.31977712
    52125.0670066 ,     72925.0559489
    825.042726557 ,     10136.0185754
    3453.96478509 ,     459.636168798
     563.57707587 ,     2166.16251207
    6176.06468937 ,     2976.28702584
    9955.91722567 ,     5021.33076937
    21053.9148833 ,     11471.5845632
     10268.689788 ,     1546.22968038
    14169.8119557 ,     2507.02845024
    9197.14055403 ,     543.998627094
    7229.15751177 ,     256.222287568
    25350.5550436 ,     2076.77673805
    38954.4752854 ,     7811.47192082
    26141.2797072 ,     19666.0754842
    437.169855809 ,     14062.4291253
    6388.09633495 ,     45.7342757343
    13112.7373537 ,     443.439060529
    8280.21346796 ,     933.458333513
    4439.34970753 ,     643.474064114
    9597.82331808 ,     2020.39896145
    341.220153689 ,     1244.81785702
    49877.2920278 ,        3434.56605
    114.620533075 ,     1301.05134026
    10659.9836237 ,     191.823712389
    8930.92188495 ,      62.214381564
     526.94728867 ,       46.94869413
      27546.82574 ,     10228.2602239
    47101.1029819 ,     5977.97768662
    16411.2989704 ,     1349.44371793
    3.59258049609 ,     2494.65997468
    1353.37526086 ,     2273.33477502
    38518.2081566 ,     15975.2893054
    6753.08052811 ,     1339.56769536
    219.343233312 ,     5210.49952587
     2101.5874276 ,     2294.83091426
    9797.44953106 ,     1597.65659498
    6358.53247844 ,     17831.7536852
    5535.91111244 ,     1707.28401281
    9275.94997531 ,     4627.92006687
    1810.86418494 ,     16.5199410038
    8341.62291463 ,      25029.797669
    24701.5690204 ,     4997.16578492
    37570.8062326 ,     19347.0306152
    16658.6095662 ,     4480.86548688
    5221.78513258 ,     740.013526902
    11195.0128046 ,     267.974233542
    22632.9424522 ,     192.984185365
    169.886410516 ,     249.196451548
    1158.03003939 ,     182.594501489
    5931.71100243 ,     23897.1913723
    28742.8286798 ,     2483.54492769
    903.348338232 ,     245.015131922
    9444.98282949 ,     13186.4606246
    48751.7639119 ,     17324.4195334
    319.763222122 ,     1065.43230823
    17467.0453277 ,     4948.33260933
    5.37051722454 ,     3353.70166523
    2003.59544493 ,     207.887185436
     99.545849172 ,      1781.8209536
    11250.0285425 ,     840.078355605
    2306.08110351 ,     10.1068614116
    11882.4328567 ,     14048.8868465
    3743.44068383 ,     4205.16821822
    831.542745588 ,     417.643457998
    17947.9402668 ,     23857.9859298
    12125.6382124 ,     8548.89951418
    14295.3403625 ,      16170.981117
    4545.18033692 ,     76.2890058813
    8023.53729709 ,     5491.91592855
     8976.7236844 ,     1011.63081978
    62.6809219715 ,     6208.08795413
    1508.82580275 ,     6176.28352057
    603.612659147 ,     3255.29321538
    1023.19947539 ,     37.8780556076
    13643.9940434 ,     13264.6865819
    22805.6530971 ,     1531.79308354
    4878.97611469 ,     4175.57885664
    21630.9235289 ,     150.636858365
    9021.91700747 ,     17133.4821997
    17498.6239514 ,     14303.1593581
     19517.506461 ,     113.873428973
    4279.40321008 ,     3772.52372069
     440.37160356 ,        2006.44417
     36403.467998 ,     25196.1902039
    237.177710373 ,     168.092618249
    1052.57963974 ,     140.231072737
    31315.8735135 ,     5122.06025991
    2246.87100243 ,     609.686329105
    2691.73367447 ,     57.9245184946
    15500.0774579 ,     5290.76413931
    3650.16567152 ,     1299.83315334
    6636.82815739 ,     3123.64173089
    21095.4314668 ,     2158.54456674
    6093.11734425 ,     6746.12123882
    1926.97089247 ,     366.600004307
    666.719532068 ,     4.18022741511
    22795.9752594 ,     24647.4526516
    9725.10151672 ,     27414.0144675
    73970.4791527 ,     39267.3383661
    14575.5360977 ,     703.187330392
     6089.9215119 ,     9397.57632225
    34488.1910567 ,     143.763861191
    1.34406924907 ,     2108.43224447
    2775.46934232 ,     16652.2709007
    44235.4840815 ,     13472.4746889
    1012.96001362 ,     4850.30859744
    810.989311323 ,     25.9810841878
     734.10894113 ,      360.58270117
    126.740234971 ,     10578.9844929
    1006.69458337 ,     3005.14938308
    5784.74718659 ,     11479.4834045
    2102.35001378 ,     951.413061367
    96.7054769466 ,     4579.47017158
    5159.43002021 ,     421.709753873
    651.579551931 ,      451.58113633
    25118.5388434 ,     351.432177688
    6815.03081433 ,     4285.01507046
    318.065875211 ,     29.2280371759
    37549.1567579 ,     2661.36024926
    9769.23673782 ,     627.278886663
     16369.046097 ,     11514.5136128
    8609.41392639 ,     327.601764945
    498.577104422 ,      109.76156905
    182.137332888 ,     443.364876215
    2607.18592045 ,     20469.2571834
    5178.35521431 ,       4387.243266
    4441.05996071 ,     1385.42481125
    9052.90089714 ,     666.917755633
    450.411964421 ,     364.731383165
    3425.45882226 ,      4101.5551385
    6793.62248934 ,     525.666091549
    3786.10754775 ,     921.471516248
    29969.7457846 ,     5862.51439569
   0.265145928347 ,       13.70297999
    4953.88572539 ,     531.198629113
    12.2810567969 ,     98.8138730607
    3328.68033303 ,     1555.86278711
     7053.8453752 ,     8044.43495886
    8754.67144881 ,     9642.09590982
    2631.49324468 ,     10089.5234481
    5583.63528118 ,     2701.51838805
    1719.22068342 ,     11294.7233104
    510.062473685 ,     2593.61006612
    2085.88816256 ,     617.193418802
    5179.13787892 ,     3268.19126111
    2871.69397985 ,     140.797897312
    79608.1189744 ,     38530.1992965
    196.673724822 ,     7556.02952264
    2313.03250604 ,     1352.58158892
    870.441435161 ,     4.13193359652
    1175.28966314 ,     9711.16719714
    15442.7062125 ,     3681.23924763
    1108.99755421 ,     545.788668499
    10697.1085948 ,     11921.4558779
   0.813794471459 ,     184.436587076
    27589.4434262 ,     22073.5443311
    11216.9670613 ,     841.440255851
     543.06437283 ,     155.568076467
